Name,Source URL
vmware/alb,https://github.com/vmware/ansible-collection-alb
vladyslavvolkov/templates,https://github.com/hiberbee/ansible-collection-templates
vladgh/system,https://github.com/vladgh/ansible-collection-vladgh-system
vladgh/samba,https://github.com/vladgh/ansible-collection-vladgh-samba
vishalvvr/agent,http://github.com/distributed-system-analysis/pbench
vkhitrin/libguestfs,https://github.com/vkhitrin/ansible-libguestfs-collection
virsec/vsp,https://github.com/achinnapurkar/ansible_virsec_vsp
viczem/keepass,https://github.com/viczem/ansible-keepass
vexxhost/kubernetes,https://github.com/vexxhost/ansible-collection-kubernetes
victoriametrics/cluster,https://github.com/VictoriaMetrics/ansible-playbooks
vexxhost/ceph,https://github.com/vexxhost/ansible-collection-ceph
vexxhost/atmosphere,https://github.com/vexxhost/atmosphere
venafi/machine_identity,https://github.com/Venafi/ansible-collection-venafi
vbotka/freebsd,https://github.com/vbotka/ansible-collection-freebsd/
veeamhub/veeam,https://github.com/VeeamHub/veeam-ansible
vandycknick/security,https://github.com/vandycknick/ansible-collection-security
vandycknick/terminal,https://github.com/vandycknick/ansible-collection-terminal
vandot/k3sup,https://github.com/vandot/ansible-k3sup
validationsframework/operators_validations,https://github.com/jpodivin/operators-validations
v_zhuravlev/agent_installer,https://github.com/CiscoDevNet/appdynamics-ansible-agent-installer
usrbinkat/collector,http://github.com/codesparta/collector
usegalaxy_eu/handy,https://github.com/usegalaxy-eu/ansible-collection-handy
universityofderby/vrealize_log_insight,https://github.com/universityofderby/ansible-collection-vrealize_log_insight
univention/ucs_roles,https://github.com/univention/ansible-roles
univention/ucs_modules,https://github.com/univention/ansible-modules
umn_devex/devex_awxuser,https://github.com/umn-devex/devex_awxuser
tryfan/core,https://www.github.com/tryfan/ansible-morpheus-collection
tuxinvader/nginx_management_suite,https://www.github.com/tuxinvader/ansible_collection_nginx_management_suite
tuxinvader/launchpad,https://github.com/TuxInvader/ansible_collection_tuxinvader_launchpad
tseeker/reconstructed,https://github.com/tseeker/reconstructed
tryfan/coretest,https://www.github.com/tryfan/ansible-collection-morpheus-core
tsimouha/sftp_modules,https://github.com/tsimouha/sftp_modules
trurlem/dev,https://github.com/trurlem/trurlem-dev
trustwallet/blockchain,https://github.com/trustwallet/ansible-collection-blockchain
tremble/signalfx,https://github.com/tremble/tremble-signalfx
totaldebug/hassio_cli,https://github.com/totaldebug/ansible-collection-hassio_cli
tpajon/aos,https://github.com/tpajon/aos.git
tribe29/checkmk,https://github.com/Checkmk/ansible-collection-tribe29.checkmk
tompage1994/tower_configuration,https://github.com/Tompage1994/tower_configuration
tonyreveal/hybrid_cloud,https://github.com/tonyreveal/hybrid_cloud/tree/dev
